id,name,category,ingredients,instructions,nutrition
chicken_bludo_1,Курица в ажуре из картофеля,chicken_bludo,"Грудка куриная (крупные) — 2 шт; Картофель (сырой, средней величины) — 6 шт; Яйцо куриное — 1 шт; Мука пшеничная / Мука — 2 ст. л.; Сыр твердый (тертый) — 100 г; Петрушка (зелень) — 1 пуч.; Соль — по вкусу; Перец черный; Масло растительное","Порежьте зелень.. перемешайте с сыром; Мясо курицы порежьте тонкими пластиками; И обжарьте его, посолив.. поперчив.. на сухой разогретой сковородке.. буквально 2-3 минуты... помешивая... (если сковорода без антипригарного покрытия, обжарьте в небольшом количестве растительного масла); Картофель почистить... натереть на крупной терке... хорошенько отжать... Добавить яйца.. муку.. соль... перемешать; Разогреем сковороду... нальем растительное масло, чтобы покрыло дно сковороды... Распределим тертый картофель по дну и прижмем лопаточкой... Таким образом у нас получается блин картофельный; Когда наш блин готов с одной стороны (жарится 2-3 минуты).. переворачиваем... и выкладываем на половину блина курицу..; Сверху посыпем тертым сыром с зеленью... и ждем 2-3 минуты... когда поджарится вторая сторона блина.. а сыр начнет плавиться; Свободной стороной картофельного блина накрываем курицу с сыром.. по минутке на каждой стороне обжариваем... Приятного аппетита!!!))); ...","{""calories"": ""1913.2 ккал"", ""protein"": ""192.8 г"", ""fat"": ""34 г"", ""carbohydrates"": ""208.9 г""}"
chicken_bludo_2,"Куриное филе ""Птица оригинальная""",chicken_bludo,"Филе куриное — 0,5 кг; Яйцо куриное (кляр) — 2 шт; Крахмал — 1 ст. л.; Майонез — 2 ст. л.; Соевый соус (по вкусу ) — 1 ст. л.; Сыр твердый — 200 г; Соль ( по вкусу ); Масло растительное (для жарки); Перец черный (по вкусу)","Куриное филе разрезать вдоль (у меня получилось на три раза), отбить, посолить, поперчить.; Приготовить кляр: смешать яйца, майонез, крахмал, соевый соус.; На мелкой терке натереть сыр (лучше твердый, но у меня был мягкий ""Российский"").; В идеале, куриное филе окунают в кляр, затем в мелко потертый сыр, потом опять в кляр, сыр, кляр... эту процедуру делают три раза.; Но у меня сыр плохо прилипал к филе ( ( (; Поэтому сыр всыпать в кляр, все хорошо перемешать..., погружать филе в эту смесь...; Переложить на сковородку и сверху еще добавить кляр... Обжарить с двух сторон до золотистой корочки. Готовятся очень быстро.; Приятного аппетита!!!","{""calories"": ""863.9 ккал"", ""protein"": ""56 г"", ""fat"": ""50.9 г"", ""carbohydrates"": ""42.7 г""}"
chicken_bludo_3,Куриная отбивная для лентяек,chicken_bludo,"Приправа (""Итальянские травы"", по вкусу); Соль (по вкусу); Мука пшеничная / Мука; Яйцо куриное — 1 шт; Молоко — 50-60 мл; Филе куриное — 600 г; Чеснок (по вкусу); Лимон (только сок)","Филе режем на кубики примерно 2х2 см. Сбрызгиваем лимонным соком, солим и посыпаем итальянскими травами. Перемешиваем...; ... тем временем. Мелко-примелко режем на кубики лук. Можно также добавить зубчик чеснока.; В миске смешиваем филе, лук и чеснок, молоко и яйцо.; Перемешиваем, затем постепенно добавляем муку, масса должна напоминать тесто на оладьи.; Обжариваем в кипящем масле, на среднем огне под крышкой по 7 минут с каждой стороны...; И наслаждаемся...","{""calories"": ""836.1 ккал"", ""protein"": ""150.3 г"", ""fat"": ""14.3 г"", ""carbohydrates"": ""13.4 г""}"
chicken_bludo_4,"Курица ""Объедение""",chicken_bludo,Окорочок куриный — 10 шт; Соль — 1 ст. л.; Сахар — 1 ст. л.; Вода — 250 мл; Чеснок — 2-3 зуб.,"Для приготовления курочки необходимо смесь соли и сахарного песка высыпать на сухую горячую сковороду, и постоянно помешиваая, готовим на большом огне,; В результате сахар расплавится и получится вот такая коричневая масса-карамель (но не переусердствуйте, чтобы сахар не перегорел, а то получите вместо карамели горелый сахар).; Сразу вольем в густую жженку стакан воды и на среднем огне, постоянно помешивая, растворяем сахар с солью.; Подготовленные окорочки я смазала натертым чесноком, сверху полила полученной смесью (чтобы жидкость попала на каждый кусочек).; Теперь ставим противень в разогретую духовку до 190-200 гр Ц и запекаем около часа, чтобы птичка получилась румяной.","{""calories"": ""7511.1 ккал"", ""protein"": ""855.3 г"", ""fat"": ""440.3 г"", ""carbohydrates"": ""38.9 г""}"
chicken_bludo_5,Курица на соли,chicken_bludo,Курица — 1 шт; Соль — 1 пач.,"Рецепт настолько прост и незамысловатен, что конечный результат просто потрясает! Понадобится целая куриная тушка и пачка соли без добавок. Расскажу, как удачно выбрать курицу. Если у вас нет своей ""проверенной"" фирмы, старайтесь брать курицу охлажденную под прозрачной пленкой, чтобы ее можно было хорошо разглядеть. У замороженных куриц в цветной упаковке трудно понять, что внутри. Курочка должны иметь ровную, без разрезов и проколов кожу. Кожа должна быть жирноватая, розовая, с легкой желтизной, поры не должны быть широкими. Нормально, если на ножках кожа тоньше, розовее и даже кажется, что они немного с синим оттенком. Кожа должна хорошо облегать курицу, быть как бы натянутой, упругой, ни в коем случае не висеть, как будто курица скинула полкило))). Примерно, как на фото. Если кожа обезжиренная и белесая, возможно курицу вымачивали в соде. Если на грудке следы проколов, как от иголок - курицу накачивали рассолом непонятного содержания. Постарайтесь приподнять пленку и понюхать. В современной жизни лучше выглядеть немного наглым в магазине, чем купить товар с ""душком"". Пахнуть курочка должна свежим мясом, если есть подозрительные запахи пропащего, ни в коем случае не берите. Надеюсь, эти советы вам пригодятся в дальнейшем. Выбор хорошей курицы очень важен для этого рецепта, потому что мы получаем в итоге чистый вкус куриного мяса, не завуалированный маринадом.; Соль высыпаете в форму с бортами. Соль можно брать любую - хоть мелкую, хоть крупную, но желательно не йодированную (говорят, она горчит); Курицу моете, обязательно обсушиваете салфетками или полотенцем, связываете ножки (я скрутила полоску фольги и обвязала ей - очень удобно). На кончики крылышек можно одеть рукавички из бумаги или фольги. Тогда они не подгорят и не будут слишком сухими. Курочку кладете на соль спинкой вниз. Это обязательно, чтобы соки оставались все в курице и не вытекали на соль. И все. Абсолютно ничего не нужно добавлять или фаршировать. Это излишне.; Теперь приготовление. Самое главное в нашем деле - это не пересушить курицу. Поэтому расчитываем время запекания. При 180 градусах полностью размороженный кг курицы запекается 35 минут. На два кило нужно соответственно час-час 10. Не советую запекать при 200 градусов - кожа может подгореть и лопнуть. Весь смысл этого рецепта в том, что в духовке создается этакая ""соляная сауна"". Соль забирает из кожи влагу, та становится сухой и хрустящей и укрывает курицу как пергамент, не давая влаге испариться из мяса. Мясо остается очень сочным и нежным, а излишки влаги и сок скапливается в животе у курицы. Итак, ставим в горячую духовку и забываем на часок. Не бойтесь, что час для курицы - это мало (знаю людей, которые пересушивали курицу таким способом). У меня все прекрасно пропекается. Если сомневаетесь - зубочисткой проколите бедро - пойдет чистый, прозрачный сок. И вот она, нарядная, на праздник к нам пришла! Поглядите, правда, красавица? Курицу снимаете с соли очень осторожно, поднимаяя за туловище ногами вниз. Внутри очень много куриного сока (на фото видно, что немного вытекло под хвостик), который горячий прям ""ливанет"" вниз. Старайтесь, чтобы не попало на кожу и не было потом опять контакта с солью. А то соль тогда прилипнет к куриной коже.","{""calories"": ""1740 ккал"", ""protein"": ""261 г"", ""fat"": ""55.5 г"", ""carbohydrates"": ""48 г""}"
chicken_bludo_6,"Курица, маринованная по-американски",chicken_bludo,"Уксус — 3 ст. л.; Корица (молотая, щепотка); Горчица — 3-4 ст. л.; Масло растительное (оливковое или подсолнечное и т.п.) — 1 стак.; Курица — 2 кг; Чеснок — 2-3 зуб.; Специи; Лист лавровый","Здравствуйте!!!))) Сразу приступаем к приготовлению, без отступлений!))) Масло смешаем с горчицей, я взяла с зернышками (кажется, в России она называется Дижонская), но это не обязательно, можно брать любую.; Взбиваем масло с горчицей до состояния майонеза. Добавляем остальные ингредиенты: уксус + тертый или измельченный чеснок + корица + соль, перец + специи для курицы. Еще раз хорошо перемешаем.; Курицу режем на такие куски, как бы вы нарезали уже готовую поджаренную курицу, т. е. на порции, и смешиваем с маринадом, добавляем лавровый лист и оставляем на 24 часа мариноваться в холодильнике.; Затем выкладываем на противень и жарим в духовке примерно 45-50 минут.","{""calories"": ""4382.6 ккал"", ""protein"": ""354.7 г"", ""fat"": ""287.9 г"", ""carbohydrates"": ""93.7 г""}"
chicken_bludo_7,"Котлета куриная по ГОСТу ""Сделана в СССР""",chicken_bludo,"Курица (берем одну большую весом 2 кг, чтобы фарша получилось 1 кг) — 1 шт; Хлеб (белый, без корок) — 250 г; Молоко — 350 мл; Масло сливочное — 30 г; Соль (по вкусу)","Вот такая книга хранится в нашей семье больше полувека. Когда я была совсем маленькой и читала только по букварю и по слогам: «мама мыла раму», то тогда уже обожала в этой книге рассматривать картинки. Вот кто-то на принцесс всяких глядел в пять лет, а я на фотки готовых блюд :). В настоящее время я мало к этой книге обращаюсь, но вот с рецептом куриной котлеты она мне здорово помогла. Прочитала рецепт, первая мысль была: в принципе, все, как всегда, но ладно, попробую, строго соблюдая всю рецептуру. И я ни капельки об этом не пожалела. Но хватит разговоров, а то я долго могу бла-бла..:) давайте приступим к готовке.; Друзья, перед готовкой, повторю еще разок, все продукты взвешиваем и отмеряем точно в граммах, как указано у меня в ингредиентах. Это очень важно, иначе вообще смысла нет готовить. Фарш готовим только так, как я опишу ниже. Жарим тоже только так, как я напишу. Технологию приготовления не меняем на свою привычную, делаем строго по моему описанию. И ни какой «отсебятины»!!! в плане чеснока, перца, зелени и т. д.!!! Так что считайте, что вы попали у меня в кулинарный плен! :) Ведь только при выполнении всех этих условий я смогу гарантировать вам вкусную, натуральную куриную котлету, именно какой она и должна быть по ГОСТу (сижу улыбаюсь). Если не испугались и еще не сбежали, то продолжаем :). Для фарша нам потребуется куриное мясо с ножек и грудки. Для этого надо купить большую курицу. У меня была весом два с лишним кило. Конечно, можно купить отдельно грудки и окорочка, но это просто дороже. А если мы готовим по ГОСТу из советских времен, то в те времена лозунг был: «Экономика должна быть экономной!» В принципе, актуально и в наши дни. Отделить мякоть от костей. Куриная шкурка в фарш не идет! Я ее просто выбрасываю. А вот остальное замораживаю на будущее, как на фотке у меня показано.; С куриной мякоти срезать все лишние жилки и жир, нарезать на кусочки и провернуть ДВА раза через мясорубку с крупной решеткой (забываем про блендеры, нужна именно мясорубка). С хлеба срезать корки и замочить в молоке.; Размять руками хлеб в молоке до однородной каши, перелить все в миску к куриному фаршу. Все хорошенько перемешать и еще раз пропустить через мясорубку. После этого посолить и добавить размягченное сливочное масло (но не растопленное!). Еще раз хорошенько вымешать и убрать в холодильник. Тем временем перемолоть хлебные корки в блендере в крошку и смешать с панировочными сухарями. Сформировать котлетки, обвалять в панировке.; Жарим либо на топленом масле, либо на смеси растительного со сливочным и на хорошо разогретой сковородке без крышки. Приблизительно по три-четыре минуты с каждой стороны, после этого переворачиваем их на бок, накрываем крышкой, уменьшаем огонь до минимума и томим еще минут 7. Все, готово!; Пробуем! Мне кажется, на вкус просто идеально! Больше я не собираюсь ничего расхваливать, Вы просто попробуйте приготовить и напишите, а мы потом обсудим, я положительно к критике отношусь, если она, конечно, написана не в оскорбительном тоне, иначе просто не отвечаю. И все-таки я так подумала, что в советские времена всякие там тетки и дядьки, которые сидели в министерствах (или где они там сидели, не знаю), не зря сидели!! Хорошие книги писали, хорошие рецепты разрабатывали. Есть чему поучиться, даже в наш продвинутый век инет-технологий. Так что будем учиться новому, вспоминая старое. Удачи, ваша Кетти-лис.","{""calories"": ""2662.2 ккал"", ""protein"": ""286 г"", ""fat"": ""83.4 г"", ""carbohydrates"": ""188 г""}"
chicken_bludo_8,"Куриная печень ""Быстрое угощение""",chicken_bludo,"Печень куриная — 500 г; Лук репчатый — 2 шт; Яблоко (лучше, кислое, у меня - антоновка) — 1 шт; Томатная паста — 1 ст. л.; Вода — 1/2 стак.; Мука пшеничная / Мука — 1 ст. л.; Масло растительное (для жарки); Соль (по вкусу); Перец черный (молотый, по вкусу)","Печень промываем, удаляем все ненужное и некрасивое. Я все вырезаю очень кропотливо и тщательно - это самое долгое занятие... И у меня получается очень много отходов (тем более, я не жадничаю - все мясные и т. п. обрезки отдаются соседской собачке), поэтому, я всегда беру печени больше, чем указано в рецепте. В этот раз у меня было 600г. Печень режем произвольными кусочками.; В исходном рецепте рекомендовалось резать лук кольцами. Можно и так. Но мне захотелось нарезать полукольцами.; Делаем соус - яблоко трем на мелкой терке, добавляем к нему томат-пасту, муку, разводим водой. Соль, перец - по вкусу.; Разогреваем в сковороде немного растительного масла, жарим на нем до прозрачности лук, добавляем печень, и, помешивая, жарим 2-5 минут. Смотрим, чтобы вся печень равномерно обжарилась, чтобы не выделялся красный сок и не было сырых участков на печени.; Добавляем соус к печени, тушим 3-4 минуты. Если надо, соль, перец - по вкусу.; Все готово! На гарнир у меня были макароны, на следующий день - пюре. Вкусно и с одним гарниром, и с другим. На следующий день печень остается такой же ОЧЕНЬ мягкой, нежной и вкусной. Мне даже в холодном виде очень понравилась! Вкус яблока угадывается только по чуть заметной кислинке соуса... Я своим не говорила, что в составе соуса присутствует яблоко - никто не догадался. Т. е., если в Вашей семье не любят сочетание фруктов с мясом и пр., то, в этом случае, это не повод отказываться от такого вкусного блюда! Приятного аппетита!","{""calories"": ""1166.8 ккал"", ""protein"": ""97.2 г"", ""fat"": ""61.5 г"", ""carbohydrates"": ""58.8 г""}"
chicken_bludo_9,Гульчехра,chicken_bludo,Курица (любые части курицы) — 1 кг; Лук репчатый (можно больше) — 3 шт; Чеснок — 10 зуб.; Молоко — 150 мл; Сметана — 10 ст. л.; Укроп (я брала замороженный) — по вкусу; Хмели-сунели — 1 ч. л.; Мука пшеничная / Мука — 2 ст. л.; Сахар — 1 ч. л.; Соль — по вкусу; Перец душистый — по вкусу; Масло подсолнечное (для жарки),"Вот, что нам понадобится!; Почистить и порезать лук полукольцами.; С куриных ножек я сняла кожу и обрезала лишний жир. Кому жир не мешает, может готовить с кожей! Порезать на небольшие кусочки.; Лук обжарить на сковороде в маленьком количестве подсолнечного масла. Отложить в сторону.; Кусочки курочки обжарить в той же сковороде, где жарился лук, до румяной корочки. Добавить жареный лук.; Пока жарился лук и курочка, смешать молоко и муку до однородной массы так, чтобы не было комочков.; Добавить к курице молоко, сметану, соль, сахар, специи, чеснок и водичку так, чтобы курочку покрывал соус, но не полностью. Хорошо перемешать и тушить до готовности под закрытой крышкой примерно 30 минут. Иногда помешивать! Почти в конце добавить нарезанный укроп и ещё немного потушить.; Блюдо в готовом виде! Подавать можно с рисом или лепёшками! Получается очень вкусно и нежно! Кстати, блюдо это можно готовить как суп, только воды больше добавлять!","{""calories"": ""2575.5 ккал"", ""protein"": ""208.9 г"", ""fat"": ""109.7 г"", ""carbohydrates"": ""195 г""}"
chicken_bludo_10,Домашние куриные наггетсы,chicken_bludo,"Филе куриное (двойные) — 4 шт; Хлеб (белый, свежий, для крошек); Яйцо куриное — 4 шт; Горчица — 2 ст. л.; Мука пшеничная / Мука (для обваливания); Кунжут (семя) — 5-6 ст. л.","Моем и режем куриное филе на полоски толщиной 2 см, длиной сантиметров 6-7.; Панировка: крошим белый хлеб,; Смешиваем с кунжутными семечками,; С солью и специями.; Обваливаем полоски в муке.; Взбиваем яйца с горчицей.; Окунаем мясо в яйцо с горчицей; И обваливаем в крошках с семечками.; Жарим на растительном масле, все время переворачивая.; Подавать, обмакнув лишний жир салфетками. Вкусно очень! Приятного аппетита!","{""calories"": ""2313.7 ккал"", ""protein"": ""288.2 г"", ""fat"": ""102.1 г"", ""carbohydrates"": ""40.9 г""}"
